consumer_id,category_code,category_name,district,division_name,division,dt_code,sanctioned_load_kw,connected_load_kw,meter_multiplier,years_as_consumer,payment_delay_avg_days,meter_status,theft_type,theft_label,consumption_Jan_kwh,bill_Jan_inr,energy_charge_Jan_inr,consumption_Feb_kwh,bill_Feb_inr,energy_charge_Feb_inr,consumption_Mar_kwh,bill_Mar_inr,energy_charge_Mar_inr,consumption_Apr_kwh,bill_Apr_inr,energy_charge_Apr_inr,consumption_May_kwh,bill_May_inr,energy_charge_May_inr,consumption_Jun_kwh,bill_Jun_inr,energy_charge_Jun_inr,consumption_Jul_kwh,bill_Jul_inr,energy_charge_Jul_inr,consumption_Aug_kwh,bill_Aug_inr,energy_charge_Aug_inr,consumption_Sep_kwh,bill_Sep_inr,energy_charge_Sep_inr,consumption_Oct_kwh,bill_Oct_inr,energy_charge_Oct_inr,consumption_Nov_kwh,bill_Nov_inr,energy_charge_Nov_inr,consumption_Dec_kwh,bill_Dec_inr,energy_charge_Dec_inr,avg_monthly_consumption_kwh,std_consumption,max_consumption_kwh,min_consumption_kwh,consumption_range_kwh,coefficient_of_variation,winter_avg_kwh,summer_avg_kwh,winter_summer_ratio,near_zero_months,avg_mom_change_pct,max_mom_change_pct,total_annual_consumption_kwh,total_annual_bill_inr,avg_monthly_bill_inr
0010400001001,DS,Domestic Supply,Srinagar,DIV-V (NOWGAM),Kashmir,BSB-107T/MODEL TOWN,2.9,3.4,1,2,4,Functioning,None,0,363.0,1109.5,1009.05,324.0,931.37,839.4,268.3,676.97,597.11,228.9,497.01,425.72,202.8,377.79,312.18,167.3,313.5,250.95,193.3,354.45,289.95,188.2,346.41,282.3,179.0,331.93,268.5,237.3,535.37,462.25,279.7,729.02,646.69,349.6,1048.3,950.76,248.5,65.26,363.0,167.3,195.7,0.2627,329.1,187.8,1.7523,0,15.46,32.57,2981.4,7251.62,604.3
0020400001002,NDS,Non-Domestic Supply,Baramulla,DIV-I (BARAMULLA),Kashmir,BRM-099T/MAIN BAZAAR,8.0,7.6,1,25,19,Functioning,None,0,890.3,5892.34,5388.22,930.0,6208.15,5682.0,696.8,4353.04,3956.32,635.1,3862.22,3499.74,433.9,2261.67,2010.86,501.3,2797.84,2509.62,445.9,2357.13,2099.66,517.0,2922.74,2625.8,581.6,3436.63,3103.84,615.6,3707.1,3355.44,840.7,5497.77,5021.18,872.6,5751.53,5257.24,663.4,172.32,930.0,433.9,496.1,0.2598,883.4,460.4,1.9189,0,15.57,36.57,7960.8,49048.16,4087.35
0100400001003,MP,Medium Power,Budgam,DIV-I (BUDGAM),Kashmir,BDM-023S/GULSHAN COLONY,424.4,413.3,1,26,70,Bypassed,partial_billing,1,3324.1,23170.36,20609.42,21929.8,150061.24,135964.76,14306.9,98073.06,88702.78,3873.8,26919.32,24017.56,13824.9,94785.82,85714.38,12158.4,83420.29,75382.08,2500.8,17555.46,15504.96,12584.9,86329.02,78026.38,16727.4,114580.87,103709.88,2818.5,19722.17,17474.7,18618.1,127475.44,115432.22,20243.0,138557.26,125506.6,11909.2,6815.77,21929.8,2500.8,19429.0,0.5723,16028.8,9494.7,1.6882,0,191.31,560.57,142910.6,980650.31,81720.86
0010400001004,DS,Domestic Supply,Srinagar,DIV-V (NOWGAM),Kashmir,KHM-075T/RIVERSIDE COLONY,3.3,3.1,1,9,13,Functioning,None,0,314.8,889.35,799.38,327.9,949.18,856.36,238.0,538.57,465.3,191.2,351.14,286.8,193.1,354.13,289.65,176.9,328.62,265.35,175.0,325.62,262.5,197.2,360.59,295.8,214.8,432.6,364.38,221.8,464.57,394.83,298.7,815.81,729.34,278.0,721.26,639.3,235.6,52.89,327.9,175.0,152.9,0.2245,304.9,181.7,1.6781,0,11.65,34.67,2827.4,6531.44,544.29
0010400001005,DS,Domestic Supply,Srinagar,DIV-VIII (ZAKURA),Kashmir,BSB-042S/NEW COLONY,4.3,3.7,1,6,73,Bypassed,meter_tampering,1,150.9,287.67,226.35,177.9,330.19,266.85,121.7,241.68,182.55,133.5,260.26,200.25,113.0,227.97,169.5,105.3,215.85,157.95,92.6,195.84,138.9,70.7,161.35,106.05,108.8,221.36,163.2,116.9,234.12,175.35,176.9,328.62,265.35,154.5,293.34,231.75,126.9,31.53,177.9,70.7,107.2,0.2485,165.1,103.6,1.5926,0,22.03,53.89,1522.7,2998.25,249.85
0070400001006,DS,Domestic Supply,Kulgam,DIV-I (KULGAM),Kashmir,KUL-073S/NEW COLONY,1.7,1.9,1,28,1,Functioning,None,0,355.3,1074.33,975.55,339.4,1001.71,906.39,270.4,686.55,606.24,213.0,424.38,356.55,195.0,357.12,292.5,169.2,316.49,253.8,153.9,292.39,230.85,162.5,305.94,243.75,205.1,388.29,322.18,218.4,449.04,380.04,266.6,669.2,589.71,295.0,798.91,713.25,237.0,64.93,355.3,153.9,201.4,0.274,314.1,172.7,1.8186,0,13.43,26.22,2843.8,6764.35,563.7
0110400001007,DS,Domestic Supply,Jammu,DIV-IV (NAGROTA),Jammu,NGT-092T/LINK ROAD,3.6,3.9,1,5,18,Functioning,None,0,333.8,976.13,882.03,331.0,963.34,869.85,277.6,719.44,637.56,194.7,356.65,292.05,176.4,327.83,264.6,192.7,353.5,289.05,187.1,344.68,280.65,193.1,354.13,289.65,186.9,344.37,280.35,213.8,428.03,360.03,294.5,796.62,711.08,310.0,867.42,778.5,241.0,59.99,333.8,176.4,157.4,0.249,317.3,185.4,1.7116,0,12.02,37.75,2891.6,6832.14,569.35
0050400001008,NDS,Non-Domestic Supply,Pulwama,DIV-I (PULWAMA),Kashmir,PMP-140T/GREEN LANE,3.5,3.3,1,27,4,Functioning,None,0,956.2,6416.57,5875.88,790.6,5099.22,4650.44,691.2,4308.5,3914.88,576.9,3399.24,3069.06,547.8,3167.75,2853.72,541.9,3120.81,2810.06,503.0,2811.36,2522.2,519.7,2944.21,2645.78,591.7,3516.97,3178.58,603.5,3610.84,3265.9,810.5,5257.53,4797.7,818.8,5323.55,4859.12,662.6,141.18,956.2,503.0,453.2,0.2131,844.0,530.9,1.5898,0,10.38,34.3,7951.8,48976.55,4081.38
0020400001009,MP,Medium Power,Baramulla,DIV-I (BARAMULLA),Kashmir,BRM-189T/HILAL PARK,325.6,368.9,1,5,14,Functioning,None,0,25555.4,174787.83,158443.48,22899.7,156675.95,141978.14,17966.5,123031.53,111392.3,15036.8,103050.98,93228.16,13862.9,95044.98,85949.98,15307.8,104899.2,94908.36,15090.6,103417.89,93561.72,14212.5,97429.25,88117.5,16747.5,114717.95,103834.5,16067.3,110078.99,99617.26,20636.9,141243.66,127948.78,25069.7,171475.35,155432.14,18204.5,4070.04,25555.4,13862.9,11692.5,0.2236,23540.4,14753.8,1.5956,0,13.23,28.44,218453.6,1495853.56,124654.46
0010400001010,DS,Domestic Supply,Srinagar,DIV-VIII (ZAKURA),Kashmir,BSB-097T/HILAL PARK,2.1,1.9,1,22,6,Functioning,None,0,323.5,929.08,837.22,336.8,989.83,895.08,246.9,579.22,504.01,237.2,534.91,461.82,202.9,378.25,312.62,160.4,302.63,240.6,179.2,332.24,268.8,169.8,317.43,254.7,221.2,461.83,392.22,228.4,494.72,423.54,263.2,653.67,574.92,327.6,947.81,855.06,241.4,58.74,336.8,160.4,176.4,0.2433,312.8,180.8,1.7296,0,14.58,30.27,2897.1,6921.62,576.8
